更新时间,#genre#
2024-10-26 06:27:07,url
港澳频道,#genre#
AMC电影台,http://litv.zapi.us.kg/?id=4gtv-4gtv017
AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
八大戏剧台,http://61.221.215.25:8800/hls/39/index.m3u8
八大戏剧台,http://50.7.234.10:8278/badadrama/playlist.m3u8?tid=m4970c4e1b988&ct=18335&tsum=20cb1d15d4e116ab9e44edb542cf51a5$1920x1080
八大戏剧台,http://50.7.234.10:8278/badadrama/playlist.m3u8?tid=MBCB2433143824331438&ct=19254&tsum=51660c351b3991d81434e43bd1ab720e$1920x1080
八大戏剧台,http://50.7.234.10:8278/badadrama/playlist.m3u8?tid=ME4E4734124647341246&ct=19225&tsum=c4e596572a79ad99675ee2137d1cc43d$1920x1080
东森电影台,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=ettvmovie
东森电影台,http://1b6467f415.iok.la:9931/tsfile/live/1043_1.m3u8
公视戏剧台,http://litv.zapi.us.kg/?id=4gtv-4gtv042
公视戏剧台,https://litv.zapi.us.kg/?id=4gtv-4gtv042
龙华电影台,http://litv.zapi.us.kg/?id=litv-longturn03
龙华电影台,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=xingwei_movie
龙华戏剧台,http://litv.zapi.us.kg/?id=litv-longturn18
龙华戏剧台,https://litv.zapi.us.kg/?id=litv-longturn18
三立戏剧台,http://50.7.234.10:8278/sanlixiju_twn/playlist.m3u8?ct=19226&tid=MBDB8405357084053570&tsum=78944c0951d21a699e46fff4318a3799$1920x1080
三立戏剧台,http://61.221.215.25:8800/hls/41/index.m3u8
纬来电影台,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=videolandmovie
TVB翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8$1920x1080
TVB翡翠台,http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv$1920x1080
TVB翡翠台,https://cloudfront41.lexanetwork.com:1344/relay01/livestream002.sdp/playlist.m3u8
TVBS欢乐台,http://litv.zapi.us.kg/?id=4gtv-4gtv068
TVBS欢乐台,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8532/.m3u8
TVBS新闻台,http://61.221.215.25:8800/hls/9/index.m3u8
TVBS新闻台,http://125.227.210.55:8186/VideoInput/play.ts$1920x1080
TVBS新闻台,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv072
TVBS新闻台,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8574/.m3u8
TVBS新闻台,http://litv.zapi.us.kg/?id=4gtv-4gtv072
TVBS新闻台,http://50.7.234.10:8278/tvbs_n/playlist.m3u8?tid=MC3C9358473393584733&ct=19193&tsum=38970ab977b9e318cbead37db4134eb8$1920x1080
TVBS新闻台,http://litv.zapi.us.kg/4g/?id=4gtv-4gtv072
TVBS新闻台,http://211.72.65.236:8574/.m3u8$1920x1080
东森财经,http://litv.zapi.us.kg/?id=4gtv-4gtv153
东森超视,https://cdn.iptv8k.top/dl/jrys.php?id=217&time=20240926215313&ip=111.229.253.40$1920x1080
东森超视,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8525/.m3u8
东森超视,https://cdn.iptv8k.top/dl/jrys.php?id=216&time=20240926215313&ip=111.229.253.40$1920x1080
东森超视,http://211.72.65.236:8525/.m3u8$1920x1080
东森超视,https://free.weidu.filegear-sg.me/a1c032a6/a1c032a6.php?id=b9de2ea719d1dce7$1920x1080
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8$1920x1080
东森新闻台,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv152
东森新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv152
东森新闻台,http://litv.zapi.us.kg/?id=4gtv-4gtv152
东森新闻台,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8540/.m3u8
东森新闻台,http://211.72.65.236:8540/.m3u8$1920x1080
动物星球,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8512/.m3u8
动物星球,http://50.7.234.10:8278/animalplanet_twn/playlist.m3u8?tid=MABA3681856636818566&ct=18393&tsum=2066d4c793195f8449577d35af941288$1920x1080
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8$1920x1080
番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8?blog.ntnas.top$1920x1080
番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8$1920x1080
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8$1920x1080
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8$1920x1080
